expression,reading,meaning,tags
戻る,もどる,to return (v.i.); to come back,Genki Genki_Ln.20 Intermediate_Japanese_Ln.8 JLPT JLPT_N4
研究,けんきゅう,"study, research, investigation",JLPT JLPT_N4
ケーキ,ケーキ,cake,Genki Genki_Ln.13 JLPT JLPT_N4
草,くさ,grass,JLPT JLPT_N4
込む,こむ,to be crowded,JLPT JLPT_N4
この頃,このごろ,"these days, nowadays",Genki Genki_Ln.10 JLPT JLPT_N4
訪ねる,たずねる,to visit,JLPT JLPT_N4
下げる,さげる,to lower (v.t.); to hang,Intermediate_Japanese_Ln.2 JLPT JLPT_N4
花見,はなみ,cherry-blossom viewing,JLPT JLPT_N4
途中,とちゅう,"on the way, midway",JLPT JLPT_N4
入院,にゅういんする,hospitalization,JLPT JLPT_N4
乗り換える,のりかえる,"to transfer (trains), to change (bus, train, etc.)",JLPT JLPT_N4
別れる,わかれる,"to part from, to separate",JLPT JLPT_N4
～町,～ちょう,the town of ~,JLPT JLPT_N4
安全,あんぜん,"safety, security",JLPT JLPT_N4
看護婦,かんごふ,(female) nurse,JLPT JLPT_N4
見物,けんぶつ,sightseeing,JLPT JLPT_N4
相談,そうだんする,consultation,JLPT JLPT_N4
ガソリンスタンド,ガソリンスタンド,"gas station, service station",JLPT JLPT_N4
テニス,テニス,tennis,Genki Genki_Ln.3 JLPT JLPT_N4
眠る,ねむる,to sleep,JLPT JLPT_N4
上がる,あがる,"to rise, to go up",JLPT JLPT_N4
翻訳,ほんやく,translation,Intermediate_Japanese_Ln.8 JLPT JLPT_N4
食事,しょくじする,meal,JLPT JLPT_N4
おかげ,お陰,thanks or owing to,JLPT JLPT_N4
娘,むすめ,daughter (humble),JLPT JLPT_N4
湯,ゆ,hot water,JLPT JLPT_N4
競争,きょうそう,"competition, contest",JLPT JLPT_N4
会議,かいぎ,business meeting; conference,Genki Genki_Ln.21 JLPT JLPT_N4
湖,みずうみ,lake,Genki Genki_Ln.11 Intermediate_Japanese_Ln.4 JLPT JLPT_N4
集まる,あつまる,"to gather (v.i.), to collect",Intermediate_Japanese_Ln.7 JLPT JLPT_N4
～にくい,～にくい,difficult to do ~,JLPT JLPT_N4
生活,せいかつする,"living, life; to live",JLPT JLPT_N4
糸,いと,thread,JLPT JLPT_N4
関係,かんけい,"relation(ship), connection",JLPT JLPT_N4
ピアノ,ピアノ,piano,Genki Genki_Ln.9 JLPT JLPT_N4
～目,～め,"number ~ sequence, ~nd; ~th",JLPT JLPT_N4
番組,ばんぐみ,broadcast program,Genki Genki_Ln.15 JLPT JLPT_N4
急,きゅう,"urgent, sudden; steep",JLPT JLPT_N4
棚,たな,"shelves, rack",JLPT JLPT_N4
木綿,もめん,cotton,JLPT JLPT_N4
輸出,ゆしゅつする,export,JLPT JLPT_N4
タイプ,タイプ,"type, style",JLPT JLPT_N4
すり,すり,pickpocket,JLPT JLPT_N4
うれしい,嬉しい,to be happy; to be glad,Genki Genki_Ln.13 JLPT JLPT_N4
アルコール,アルコール,alcohol,JLPT JLPT_N4
ソフト,ソフト,soft; soft hat; software,JLPT JLPT_N4
神社,じんじゃ,Shinto shrine,JLPT JLPT_N4
大分,だいぶ,"fairly well, to a large extent, considerably, pretty much",Intermediate_Japanese_Ln.4 JLPT JLPT_N4
楽しみ,たのしみ,"pleasure, joy",JLPT JLPT_N4
趣味,しゅみ,hobby; pastime,Genki Genki_Ln.20 JLPT JLPT_N4
電報,でんぽう,telegram,JLPT JLPT_N4
家内,かない,(one's own) wife,Intermediate_Japanese_Ln.7 JLPT JLPT_N4
指,ゆび,finger,JLPT JLPT_N4
これから,これから,"from now on, after this",JLPT JLPT_N4
たまに,たまに,occasionally,JLPT JLPT_N4
社会,しゃかい,society,JLPT JLPT_N4
